ID,类型,方案,玩法名称,组合编号,总注数,中奖注数,赔率,返水,单注金额,示例,玩法说明,简略说明,奖级,玩法缩写,返水状态
147,二星,前二组选,包胆B面,2_17_147,50,9,0.980/0.850,0/13%,1,投注方案：包胆8[br]开奖号码：前二位8x，且x不等于8，即中前二组选。,从0-9中任意选择1个包胆号码，开奖号码的万位、千位中任意1位包含所选的包胆号码相同（不含对子），即为中奖,竞猜开奖号码前两位必出的1个号码,,前二组选包胆B面,0
57,二星,后二组选,复式,2_18_57,50,1,0.980/0.850,0/13%,1,投注方案：58[br]开奖号码：后二位58或85（顺序不限，不含对子）即中后二组选。,从0-9中选2个号码组成一注，所选号码与开奖号码的十位、个位相同（不含对子），顺序不限，即中奖。,至少选择2个号码,,后二组选复式,0
59,二星,后二组选,和值A面,2_18_59,50,1,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：后二位10或是01（顺序不限，不含对子）即中后二组选。,从1-17中任意选择1个或1个以上号码，所选数值等于开奖号码的十位、个位之和（不含对子），即为中奖,竞猜开奖号码后两位之和（不含对子）,,后二组选和值A面,0
148,二星,后二组选,和值B面,2_18_148,50|50|50|50|50|50|50|50|50,1|1|2|2|3|3|4|4|5,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：前二位10或是01（顺序不限，不含对子）即中前二组选。,从1-17中任意选择1个或1个以上号码，所选数值等于开奖号码的万位、千位之和（不含对子），即为中奖,竞猜开奖号码后两位之和（不含对子）,1，17|2，16|3，15|4，14|5，13|6，12|7，11|8，10|9,后二组选和值B面,0
58,二星,后二组选,单式,2_18_58,50,1,0.980/0.850,0/13%,1,投注方案：58[br]开奖号码：后二位58或是85（顺序不限，不含对子）即中后二组选。,手动输入号码，至少输入1个2位数号码组成一注，所输入号码与开奖号码的后2位相同（不含对子），顺序不限，即为中奖,输入2个有效号码组成1注,,后二组选单式,0
60,二星,后二组选,包胆A面,2_18_60,50,1,0.980/0.850,0/13%,1,投注方案：包胆8[br]开奖号码：后二位8x，且x不等于8，即中后二组选。,从0-9中任意选择1个包胆号码，开奖号码的十位、个位中任意1位包含所选的包胆号码相同（不含对子），即为中奖,竞猜开奖号码后两位必出的1个号码,,后二组选包胆A面,0
149,二星,后二组选,包胆B面,2_18_149,50,9,0.980/0.850,0/13%,1,投注方案：包胆8[br]开奖号码：后二位8x，且x不等于8，即中后二组选。,从0-9中任意选择1个包胆号码，开奖号码的十位、个位中任意1位包含所选的包胆号码相同（不含对子），即为中奖,竞猜开奖号码后两位必出的1个号码,,后二组选包胆B面,0
61,前三,前三直选,复式,3_19_61,1000,1,0.980/0.850,0/13%,1,投注方案：345[br]开奖号码：前三位 345，即中前三直选。,从万位、千位、百位中选择一个3位数号码组成一注，所选号码与开奖号码前3位相同，且顺序一致，即为中奖,竞猜开奖号码的前三位,,前三直选复式,0
63,前三,前三直选,和值A面,3_19_63,1000,1,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：前三位 001、010、100，即中前三直选和值。,从0-27中任意选择1个或1个以上号码，所选数值等于开奖号码的万位、千位、百位3个数字相加之和，即为中奖,竞猜开奖号码的前三位之和,,前三直选和值A面,0
150,前三,前三直选,和值B面,3_19_150,1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000|1000,1|3|6|10|15|21|28|36|45|55|63|69|73|75,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：前三位 001、010、100，即中前三直选和值。,从0-27中任意选择1个或1个以上号码，所选数值等于开奖号码的万位、千位、百位3个数字相加之和，即为中奖,竞猜开奖号码的前三位之和,0，27|1，26|2，25|3，24|4，23|5，22|6，21|7，20|8，19|9，18|10，17|11，16|12，15|13，14,前三直选和值B面,0
62,前三,前三直选,单式,3_19_62,1000,1,0.980/0.850,0/13%,1,投注方案：345[br]开奖号码：前三位 345，即中前三直选。,手动输入号码，至少输入1个3位数号码组成一注，所输入号码与开奖号码的万位、千位、百位相同，顺序一致，即为中奖,输入3个有效号码组成1注,,前三直选单式,0
